Model,RMSE,MAE,R2,Accuracy(%)
Linear Regression,25217.580888343637,4117.994595755097,0.018512722573541307,1.9
Random Forest,12901.755809134593,632.6157086286539,0.7430932797465344,74.3
XGBoost,11137.931381032775,1100.7314636666054,0.8085360981395137,80.9
XGBoost (tuned),11006.334301176006,937.3114400347273,0.813033745123338,81.3
